,Counts,Bins
0,0.022,-49.696539412371045
1,0.072,-45.88280967130859
2,0.133,-42.06907993024615
3,0.222,-38.255350189183694
4,0.249,-34.44162044812124
5,0.127,-30.627890707058796
6,0.089,-26.814160965996344
7,0.027,-23.000431224933894
8,0.018,-19.186701483871445
9,0.041,-15.372971742808993
10,0.0,-11.559242001746547
