,Random,EI_SK_1,EI_SK_2,EI_SK_3,EI_SK_4,EI_SK_5,Hier
0,-33.951706444282785,-32.71328556292768,-32.71328556292768,-32.71328556292768,-32.71328556292768,-32.71328556292768,-32.71328556292768
1,-33.951706444282785,-28.081943005078635,-28.081943005078635,-28.081943005078635,-28.081943005078635,-28.081943005078635,-32.71328556292768
2,-29.661536070377014,-24.184319936002026,-23.27286436171902,-22.780309900626502,-22.790355975032096,-22.46031109914547,-29.74091457302821
3,-26.689171834690082,-22.431045172540554,-19.743824755471593,-18.463241214204206,-17.561424180594624,-15.407284134158992,-27.459089298613392
4,-24.79184142801439,-19.825377999892652,-16.273816255049837,-12.736932957469998,-7.145712068256771,-4.607798879046298,-23.866273957470945
5,-23.01546200043726,-18.143186993711275,-13.010312715228856,-6.129902312597194,-1.1662022632627667,-0.4507897034725169,-20.585150896077092
6,-21.54688483153805,-14.34554024990365,-9.943736737108642,-1.7689162276411357,-0.1558798476829653,-0.0758062231662504,-18.166244423615975
7,-20.462417462079483,-12.750205413251292,-7.26192005652389,-0.6700120934651,-0.032502564426206554,0.0,-15.38825346089183
8,-19.455260010161776,-11.047447437109918,-5.572650479751725,-0.2808914538170576,0.0,0.0,-12.051211383243514
9,-18.4754788586417,-9.792419320486047,-4.257468849641945,-0.1433763293056274,0.0,0.0,-9.422128439125355
10,-17.806702292780532,-8.848740183698482,-3.2371788717913264,-0.037359942490844414,0.0,0.0,-6.056779767849563
11,-17.083413478250087,-7.622180397655803,-2.4644074104200913,0.0,0.0,0.0,-2.886036333238704
12,-16.44665519709331,-6.549651922205339,-1.7894540022779968,0.0,0.0,0.0,0.0
13,-15.901949862647376,-5.587704649978157,-1.4070705459208788,0.0,0.0,0.0,0.0
14,-15.317823645998958,-4.574256801157657,-0.9364074362602164,0.0,0.0,0.0,0.0
15,-14.67822968503913,-3.9242472977313585,-0.5724212383635155,0.0,0.0,0.0,0.0
16,-14.247272893139023,-3.426642990981427,-0.37528519087162215,0.0,0.0,0.0,0.0
17,-13.726519503497835,-2.8824874959833684,-0.32604667595368697,0.0,0.0,0.0,0.0
18,-13.193593775770218,-2.4980776983286748,-0.2981308060022291,0.0,0.0,0.0,0.0
19,-12.819319552059362,-2.0204613425747815,-0.236385898700686,0.0,0.0,0.0,0.0
20,-12.534748695493564,-1.6710522935060323,-0.236385898700686,0.0,0.0,0.0,0.0
21,-12.254620830778292,-1.4379222311048794,-0.22926155248288146,0.0,0.0,0.0,0.0
22,-11.934276106249296,-1.1987643623179727,-0.1716433541308639,0.0,0.0,0.0,0.0
23,-11.61412937799318,-1.0277327606164668,-0.14674046745094582,0.0,0.0,0.0,0.0
24,-11.325031103329618,-0.9155610396755731,-0.14674046745094582,0.0,0.0,0.0,0.0
25,-10.952022504611236,-0.8004350602931548,-0.1431752932172213,0.0,0.0,0.0,0.0
26,-10.649029439218856,-0.7235721640338603,-0.13806267078164408,0.0,0.0,0.0,0.0
27,-10.398136086405845,-0.6073638929359211,-0.13806267078164408,0.0,0.0,0.0,0.0
28,-10.140558815167623,-0.49659679528972106,-0.13806267078164408,0.0,0.0,0.0,0.0
29,-9.871699991108011,-0.4173716301450785,-0.12018131386374106,0.0,0.0,0.0,0.0
30,-9.621090839124635,-0.3632048521050784,-0.12018131386374106,0.0,0.0,0.0,0.0
