,X,Y,Z
192,-18.673456680774215,-14.093003065323817,-25.340322462532047
193,-39.217006644658674,-39.1348421142243,-38.734334549014456
194,-34.32343468646651,-27.854493747836486,-12.331387605606647
195,-33.830375969667315,-32.111776858310094,-29.50352083042299
196,-36.426523865067864,-36.13705888163864,-35.496170480078526
197,-48.59171083054643,-47.445188173982785,-43.96543504935163
198,-35.513516057572275,-34.456550245636635,-32.852094362467795
199,-49.71925933439663,-49.6554279323012,-49.52958195736899
200,-49.885316610270124,-49.880937439723354,-49.86616690519186
201,-35.08236567095785,-35.79658629029558,-36.149829330402
202,-37.53235425248381,-37.27349638773387,-36.670412080779556
203,-36.89656156360093,-35.69401430434007,-33.87707073467336
204,-31.208025892212174,-34.00687943670566,-35.82666290689616
205,-26.35894101550548,-13.14721296009334,-21.524329902514268
206,-32.43535520363904,-29.96382316344161,-25.939247510665364
207,-38.864731841051494,-37.656357992288235,-35.817839470171805
208,-46.96601151810174,-43.018286753041394,-12.04906428855554
209,-32.03702002314759,-28.31372242738206,-20.786682349023096
210,-35.50318096755358,-33.95429171891862,-31.613904418780553
211,-36.773348555136245,-34.93952103225886,-32.10337250246256
212,-46.77428468859286,-12.043048654346645,-46.6525916197546
213,-28.021553989595724,-31.771439301957223,-34.10277356296268
214,-17.138624930752325,-14.957906609962254,-25.17484508565419
215,-39.03795460183289,-38.47790035948629,-37.52388908807677
216,-31.758212983431097,-28.006955346101922,-20.383521416582212
217,-29.72654129899929,-32.398792479238956,-34.154029995963086
218,-41.40011269068157,-40.23182447691421,-38.423244534130696
219,-32.5571729347194,-29.864138142801387,-25.342571184539327
220,-41.87646800336182,-42.06232396074135,-41.96410930712812
221,-35.12097598421436,-34.038989244348826,-32.40048401525787
222,-41.469262241121285,-40.302925180160074,-38.49618548825853
223,-35.38424687686324,-36.582575464412955,-37.334731100104065
224,-15.938198351318642,-15.95768043672055,-25.36828385185526
225,-38.899619676168136,-37.95816666464787,-36.50449931262595
226,-34.287657807283104,-12.138242421955752,-32.89748634723436
227,-37.20391648374366,-35.36685726832783,-32.518098702594465
228,-36.88170692399166,-35.0468925909591,-32.20733892315635
