,X,Y,Z
214,-31.64355493390957,-29.475165575401313,-25.114946282347855
215,-41.4955824718087,-41.104425762042226,-40.35270788560611
216,-30.332584150185422,-37.169344990326955,-36.86817111517457
217,-36.07822492127778,-35.550187403144974,-34.18592891639506
218,-43.21714962731054,-38.272235363477044,-27.354053840968206
219,-38.2241297290224,-33.17597377323877,-28.02845491722826
220,-39.38333240370441,-37.34412089021461,-27.239955707416264
221,-46.11939184449936,-48.09521703969037,-49.42987220272819
222,-32.89017436648272,-30.819492287290732,-26.880093045095098
223,-29.639631329654392,-37.205036473525645,-39.306322550835425
224,-29.54817562960331,-12.874564908231406,-25.791515718874003
225,-33.3017016929857,-33.811025612508026,-31.78799731977736
226,-36.474536951485014,-36.73936132769476,-36.34119151522456
227,-37.637874543477366,-27.568940251258248,-33.220717748156716
228,-46.58205503290442,-46.33099853045063,-45.87054707368328
229,-31.30604003731571,-32.52150381997223,-32.60310099096667
230,-13.147723123093453,-23.776631399685503,-28.971359388016317
231,-38.002841506563,-36.19153368509564,-31.49924809006143
232,-36.603545131611675,-29.068508034647053,-28.50717080456529
233,-33.45398371755283,-30.92578697140986,-26.477224552855198
234,-13.807258299086003,-21.002025475757616,-28.808882674627114
235,-29.84732342700664,-39.763298528594234,-45.71038956109861
236,-33.00425380730959,-32.81622378634326,-31.98260654506391
237,-43.25308863827506,-45.624923790502635,-46.46533537202907
238,-28.08245132615538,-33.60233464949664,-26.411832044367173
239,-48.62797068062662,-46.95904084843421,-44.27369906309197
240,-26.156772335326263,-12.577949443197438,-21.64428126719583
241,-33.646638755883835,-35.198534193927955,-36.282759017736545
242,-34.80208717585367,-27.298778566179614,-12.682675397940493
243,-19.86416694091337,-14.190832987752152,-26.082863310985477
244,-38.001860399195074,-36.67729130617106,-34.25077030457516
245,-36.24207267929424,-33.86230815655308,-39.16282245559405
246,-29.121940534764406,-32.66067271994155,-31.186720403778338
247,-36.38816890293079,-36.05325931843727,-35.35293250617995
248,-24.62273730403208,-32.40922669690963,-33.33320609779416
249,-36.039757489743195,-24.072857151129586,-34.52128662066813
250,-42.84083981146141,-41.105643181316736,-38.841025206806265
251,-33.22666760936499,-22.785545260489066,-38.89248202197891
252,-41.35889946210706,-35.755444304887234,-30.39921117884305
253,-32.11539502091716,-32.280246727203384,-31.747387504000034
254,-33.64615832902243,-35.70928237176074,-36.87270503802617
255,-44.72127801060155,-44.479938845624936,-43.7858029542937
256,-23.9411564047597,-31.04446776704222,-29.165392903620692
257,-32.35221197758336,-31.100576793829173,-28.709561657410507
258,-36.72987931405313,-31.388825180958094,-37.35946759034604
259,-32.27929379913025,-25.807471745045063,-12.995815891879019
260,-43.14921004556893,-41.25501441114586,-37.95120475173154
261,-39.65182123911557,-40.425288650741194,-29.76914616521434
262,-32.34377132028576,-29.940920756444353,-21.449908195020004
263,-21.05678615329781,-34.06354342447073,-31.434523328818067
264,-25.79824608175342,-31.199073332722374,-29.981638048676032
265,-33.12183230002348,-28.450504875867626,-29.62299235479328
