,Counts,Bins
0,0.111,-49.999796426705686
1,0.1,-46.204774527244446
2,0.18,-42.40975262778321
3,0.308,-38.61473072832197
4,0.129,-34.81970882886074
5,0.071,-31.0246869293995
6,0.036,-27.22966502993826
7,0.008,-23.434643130477024
8,0.015,-19.639621231015788
9,0.042,-15.844599331554548
10,0.0,-12.049577432093319
