,x_14,y_14,x_15,y_15,x_16,y_16
860,-0.5158201952902546,2.595560732945243e-06,-0.5158201952902546,3.214292860950651e-06,-0.5158201952902546,4.46201544344068e-06
861,-0.511823584205975,1.0917762002601841e-05,-0.511823584205975,1.356396190113124e-05,-0.511823584205975,1.8909040318189615e-05
862,-0.5092398791912384,1.924560674343122e-05,-0.5092398791912384,2.3960395145924808e-05,-0.5092398791912384,3.349463110011054e-05
863,-0.5090731178676005,1.985962081445884e-05,-0.5090731178676005,2.4728180432801456e-05,-0.5090731178676005,3.457411036601404e-05
864,-0.5078378862328917,2.4687888599174053e-05,-0.5078378862328917,3.0770994989119374e-05,-0.5078378862328917,4.308008069809827e-05
865,-0.5077347061472056,2.5113246851766684e-05,-0.5077347061472056,3.130379211186727e-05,-0.5077347061472056,4.3830873980291925e-05
866,-0.5058794344160786,3.332407545078218e-05,-0.5058794344160786,4.1601553449506016e-05,-0.5058794344160786,5.8366268280085216e-05
867,-0.5052644834362248,3.6274389360072435e-05,-0.5052644834362248,4.530748110157414e-05,-0.5052644834362248,6.360794690062788e-05
868,-0.5040070952027695,4.264587722711141e-05,-0.5040070952027695,5.332048721752188e-05,-0.5040070952027695,7.495975766053967e-05
869,-0.5033577875771271,4.6108392510544825e-05,-0.5033577875771271,5.76804170754679e-05,-0.5033577875771271,8.114640396273066e-05
870,-0.5030327840288412,4.788418206144075e-05,-0.5030327840288412,5.991787286960499e-05,-0.5030327840288412,8.432397225674369e-05
871,-0.5024643904603239,5.105663002902269e-05,-0.5024643904603239,6.39174330523191e-05,-0.5024643904603239,9.000844849024197e-05
872,-0.5023125663607668,5.191816647591523e-05,-0.5023125663607668,6.500409986392368e-05,-0.5023125663607668,9.155386833956679e-05
873,-0.5007883199851627,6.088541235500947e-05,-0.5007883199851627,7.632729254038164e-05,-0.5007883199851627,0.00010768131114615207
874,-0.5003083979963847,6.382377137167713e-05,-0.5003083979963847,8.004257371245649e-05,-0.5003083979963847,0.00011298226639602523
875,-0.5002223342632576,6.435628723031456e-05,-0.5002223342632576,8.071614629092042e-05,-0.5002223342632576,0.00011394380344387089
876,-0.4994137556586461,6.94398724246524e-05,-0.4994137556586461,8.715021953996022e-05,-0.4994137556586461,0.00012313598341186604
877,-0.49918043961343705,7.093313972702507e-05,-0.49918043961343705,8.904151751759912e-05,-0.49918043961343705,0.00012584056301360655
878,-0.4984651727302304,7.558168861129336e-05,-0.4984651727302304,9.493297269467724e-05,-0.4984651727302304,0.00013427271430745978
879,-0.49737395709061716,8.286869751228996e-05,-0.49737395709061716,0.00010417989610506062,-0.49737395709061716,0.0001475294044187509
880,-0.4970175128527998,8.529716511703618e-05,-0.4970175128527998,0.00010726462579158211,-0.4970175128527998,0.00015195769520713763
881,-0.4944782542106576,0.00010320443042128495,-0.4944782542106576,0.00013005835829683836,-0.4944782542106576,0.0001847699084167339
882,-0.4935737990182427,0.00010980690622489959,-0.4935737990182427,0.00013848336691156519,-0.4935737990182427,0.00019693808056564293
883,-0.4923575750575797,0.00011883623722515736,-0.4923575750575797,0.00015002334102879025,-0.4923575750575797,0.00021364030132366805
884,-0.4913101241989378,0.00012672909375934722,-0.4913101241989378,0.00016012816640740432,-0.4913101241989378,0.0002282988944832567
885,-0.4913002298953948,0.00012680409289816009,-0.4913002298953948,0.00016022426203196017,-0.4913002298953948,0.0002284384469493101
886,-0.4890688980187482,0.00014387902495233192,-0.4890688980187482,0.00018214096723007334,-0.4890688980187482,0.0002603417678685472
887,-0.4887522489693885,0.00014632180221000818,-0.4887522489693885,0.0001852828197824456,-0.4887522489693885,0.00026492769939819814
888,-0.4881294880151451,0.00015113456531051282,-0.4881294880151451,0.00019147768653257274,-0.4881294880151451,0.00027397922025045507
889,-0.48549962446109185,0.0001714869041958243,-0.48549962446109185,0.00021774704003018334,-0.48549962446109185,0.0003125037971595733
890,-0.4835556595593915,0.0001864152758842478,-0.4835556595593915,0.00023709407204567902,-0.4835556595593915,0.0003410309464103969
891,-0.4832462792555141,0.00018877131956503292,-0.4832462792555141,0.00024015393758760787,-0.4832462792555141,0.0003455554139426477
892,-0.4819732789666259,0.00019838626646468896,-0.4819732789666259,0.0002526603948994845,-0.4819732789666259,0.00036408601169046436
893,-0.48158543589476277,0.0002012863003767549,-0.48158543589476277,0.0002564388258069689,-0.48158543589476277,0.0003696968183471522
894,-0.4788099326119035,0.00022152028971759072,-0.4788099326119035,0.0002828894448179433,-0.4788099326119035,0.0004091490179202113
895,-0.4767640361997044,0.00023569767606573984,-0.4767640361997044,0.00030152554396361815,-0.4767640361997044,0.00043714993239515806
896,-0.47650790022473277,0.00023741976117849596,-0.47650790022473277,0.00030379578105435004,-0.47650790022473277,0.00044057402675989405
897,-0.4756719173748538,0.00024295038851471736,-0.4756719173748538,0.00031109738044975496,-0.4756719173748538,0.0004516076278274217
898,-0.47541923162225885,0.00024459395606431456,-0.47541923162225885,0.0003132704675329734,-0.47541923162225885,0.00045489784393319265
899,-0.4711977513901301,0.0002698540731727129,-0.4711977513901301,0.00034689384420411224,-0.4711977513901301,0.0005062550796770232
900,-0.4709930944992633,0.00027096252306597386,-0.4709930944992633,0.00034838099874612955,-0.4709930944992633,0.0005085499106348248
901,-0.47081310696268874,0.0002719277124315789,-0.47081310696268874,0.000349676936802012,-0.47081310696268874,0.0005105516361718563
902,-0.46971067811544553,0.0002776377428476276,-0.46971067811544553,0.00035736402694997935,-0.46971067811544553,0.0005224656086490136
903,-0.4694874045217111,0.00027875095434667035,-0.4694874045217111,0.0003588670846359169,-0.4694874045217111,0.0005248038700024595
904,-0.4679493044424815,0.00028600748581163437,-0.4679493044424815,0.0003687065263562893,-0.4679493044424815,0.000540193248190077
905,-0.46728727639948264,0.00028890207350457304,-0.46728727639948264,0.00037265499577159424,-0.46728727639948264,0.0005464153727539954
906,-0.46718200547073163,0.0002893493017786914,-0.46718200547073163,0.0003732664599126581,-0.46718200547073163,0.0005473816993313538
907,-0.46684900974227383,0.00029074011214470476,-0.46684900974227383,0.00037517062726812484,-0.46684900974227383,0.0005503960646797509
908,-0.46519613622903677,0.0002970945185847203,-0.46519613622903677,0.00038392988087697464,-0.46519613622903677,0.0005643787470476114
909,-0.4650701544113238,0.00029754056052640226,-0.4650701544113238,0.00038454911681462436,-0.4650701544113238,0.0005653758089170627
