,x_14,y_14,x_15,y_15,x_16,y_16
30,-2.4088796371325585,-25.0813135097885,-2.4088796371325585,-36.66475239667005,-2.4088796371325585,-37.97677530756525
31,-2.408739123112762,-39.57299532207463,-2.408739123112762,-40.72677297446694,-2.408739123112762,-40.50218602983659
32,-2.4086421639217153,-43.823711967989965,-2.4086421639217153,-42.08964458861643,-2.4086421639217153,-40.38546909374699
33,-2.4082312433156527,-41.96054594788218,-2.4082312433156527,-40.934349357547546,-2.4082312433156527,-39.31934035534846
34,-2.40812820597616,-28.793404505225833,-2.40812820597616,-28.90392423415451,-2.40812820597616,-27.2704743180577
35,-2.40742096620269,-36.8696931050148,-2.40742096620269,-31.207372063441202,-2.40742096620269,-34.800360910491676
36,-2.40719649704422,-41.91859676340403,-2.40719649704422,-40.712024053743015,-2.40719649704422,-38.81012505562747
37,-2.407152801042509,-42.99893411851177,-2.407152801042509,-42.54076249139026,-2.407152801042509,-41.48861813295507
38,-2.4059648319919775,-39.990078170080416,-2.4059648319919775,-30.87442506390611,-2.4059648319919775,-34.826050178163946
39,-2.405855328785356,-32.19251634751221,-2.405855328785356,-38.342519741554234,-2.405855328785356,-39.01895599747142
40,-2.4057111429800093,-40.072782073595846,-2.4057111429800093,-39.599837833421624,-2.4057111429800093,-38.38645198614364
41,-2.405501104049238,-46.00690544026626,-2.405501104049238,-36.92838945451375,-2.405501104049238,-29.529243600012272
42,-2.4048796731789173,-38.710408224315096,-2.4048796731789173,-35.93615399872461,-2.4048796731789173,-25.959926203557238
43,-2.4048451500411363,-32.423779371611744,-2.4048451500411363,-32.57017639448523,-2.4048451500411363,-36.417169529208955
44,-2.404798462884349,-38.67612500450801,-2.404798462884349,-30.984458869827556,-2.404798462884349,-26.33889055882563
45,-2.4045078849639188,-33.44732708400744,-2.4045078849639188,-32.83613212031008,-2.4045078849639188,-35.66289318205116
46,-2.4041363088063217,-35.392683109787406,-2.4041363088063217,-25.93849396055644,-2.4041363088063217,-31.580683808074276
47,-2.4026003991230054,-46.68762069368932,-2.4026003991230054,-32.0105324799139,-2.4026003991230054,-41.088423666689906
48,-2.402331893306884,-42.77006114767591,-2.402331893306884,-42.450863503434405,-2.402331893306884,-41.221821667747314
49,-2.4019609161747706,-43.21984361017681,-2.4019609161747706,-42.17893439394223,-2.4019609161747706,-39.745856523618805
50,-2.40196053132892,-37.78660073021021,-2.40196053132892,-33.74723989340665,-2.40196053132892,-41.65353210405654
51,-2.4016865156525133,-49.45654401238428,-2.4016865156525133,-32.6354795809826,-2.4016865156525133,-31.21426973042817
52,-2.4014050726777443,-46.96752053980254,-2.4014050726777443,-46.41483610799921,-2.4014050726777443,-45.29111718425306
53,-2.4013040535809114,-35.21798042427336,-2.4013040535809114,-27.122530063882508,-2.4013040535809114,-34.226229578742895
54,-2.4010124970020477,-42.08282457447794,-2.4010124970020477,-41.54453721650491,-2.4010124970020477,-40.409455869996044
55,-2.4009987906413213,-41.619386301475565,-2.4009987906413213,-39.493946507229836,-2.4009987906413213,-29.450941376862602
56,-2.4009179938183607,-32.194706838748736,-2.4009179938183607,-42.17459731119763,-2.4009179938183607,-39.68732539096241
57,-2.399148463418266,-43.10375941523588,-2.399148463418266,-42.09952757740486,-2.399148463418266,-40.506391813179135
58,-2.3985791449829303,-28.591404010709756,-2.3985791449829303,-39.36474115587615,-2.3985791449829303,-41.29587526735392
59,-2.398293651356999,-37.3225036252825,-2.398293651356999,-41.941025160610685,-2.398293651356999,-30.63484503623097
60,-2.3982681779761874,-41.368442706408075,-2.3982681779761874,-28.294483388848363,-2.3982681779761874,-45.555047392103354
61,-2.397914082518465,-45.303864919142356,-2.397914082518465,-44.44655124740357,-2.397914082518465,-43.03161898969992
62,-2.3972521686162285,-38.32251184513296,-2.3972521686162285,-41.84824546745652,-2.3972521686162285,-44.03672584142737
63,-2.3965847225044534,-44.00058456766352,-2.3965847225044534,-40.80446835588367,-2.3965847225044534,-31.7736938550171
64,-2.3965512940721174,-45.32210611061733,-2.3965512940721174,-40.32497015069034,-2.3965512940721174,-49.46853105404777
65,-2.395991521965124,-49.15672394129112,-2.395991521965124,-26.022504166228295,-2.395991521965124,-36.07981571876676
66,-2.3927088929607647,-44.60475754848119,-2.3927088929607647,-37.76884913189765,-2.3927088929607647,-42.606770501291386
67,-2.3918431960019086,-35.8841860299175,-2.3918431960019086,-34.07155654874789,-2.3918431960019086,-41.60572057323559
68,-2.3918365210545107,-37.74148471757275,-2.3918365210545107,-23.086303585978353,-2.3918365210545107,-34.94348896153947
69,-2.3902223157956195,-44.21753132613057,-2.3902223157956195,-47.55114793163041,-2.3902223157956195,-47.617439240642206
70,-2.389792918346888,-27.816192938713588,-2.389792918346888,-40.73991481607404,-2.389792918346888,-40.706466011449216
71,-2.3892356299232436,-45.4906731775917,-2.3892356299232436,-45.33607870559664,-2.3892356299232436,-44.55396629706993
72,-2.388183952984365,-42.0704371607819,-2.388183952984365,-42.128610301550225,-2.388183952984365,-29.13980467320968
73,-2.3877195967422074,-42.921567039669426,-2.3877195967422074,-41.137876397549874,-2.3877195967422074,-37.87129252511186
74,-2.387190055901688,-40.28299042833616,-2.387190055901688,-44.30720750835428,-2.387190055901688,-46.452565007804665
75,-2.386518643804374,-46.47961755830268,-2.386518643804374,-46.38372917680695,-2.386518643804374,-45.56674829767385
76,-2.3864600362576045,-29.84732342700664,-2.3864600362576045,-39.763298528594234,-2.3864600362576045,-45.71038956109861
77,-2.385878826802588,-43.68337878749982,-2.385878826802588,-42.253222015724816,-2.385878826802588,-39.51515768303735
78,-2.3858043159988247,-40.7095151828608,-2.3858043159988247,-40.824989188238526,-2.3858043159988247,-39.133308718773975
79,-2.3857612195363544,-48.62797068062662,-2.3857612195363544,-46.95904084843421,-2.3857612195363544,-44.27369906309197
80,-2.3857135485389165,-44.15963022661566,-2.3857135485389165,-43.44461490819576,-2.3857135485389165,-27.221390348992717
81,-2.3853450897524633,-47.70862503040731,-2.3853450897524633,-43.68465591764125,-2.3853450897524633,-39.49094750773814
82,-2.3852506912319207,-44.601766732624625,-2.3852506912319207,-43.4253223843411,-2.3852506912319207,-41.48384878513891
83,-2.384323650149103,-41.58703077097687,-2.384323650149103,-38.02222070415687,-2.384323650149103,-31.054081621400837
84,-2.3840904709437525,-43.94303482070795,-2.3840904709437525,-43.035572890639145,-2.3840904709437525,-33.50548591095773
85,-2.383557627972698,-31.7353682952878,-2.383557627972698,-34.56076911994038,-2.383557627972698,-42.92886604044739
86,-2.38303700678194,-46.4109531926395,-2.38303700678194,-45.78222415967012,-2.38303700678194,-43.84538435264592
87,-2.382447806020602,-40.50105753755264,-2.382447806020602,-38.749229163805325,-2.382447806020602,-35.92750308232952
88,-2.3805575167882873,-39.43459835156105,-2.3805575167882873,-37.3411478392596,-2.3805575167882873,-32.722569220825704
89,-2.377169008006458,-39.379394650928816,-2.377169008006458,-37.74092484958683,-2.377169008006458,-34.77716833840648
90,-2.377029978096055,-42.84083981146141,-2.377029978096055,-41.105643181316736,-2.377029978096055,-38.841025206806265
91,-2.376078952890964,-43.141487685964606,-2.376078952890964,-41.39218436344511,-2.376078952890964,-38.909331150055976
92,-2.374367951982781,-35.79062789933395,-2.374367951982781,-26.348675452164745,-2.374367951982781,-37.83497911804835
93,-2.3742991508126874,-39.60252097165086,-2.3742991508126874,-38.1139441937781,-2.3742991508126874,-35.809286746616316
94,-2.3734788460969822,-39.07055673299381,-2.3734788460969822,-37.82076777849958,-2.3734788460969822,-35.86407896969115
95,-2.3727652669890213,-38.43197485106131,-2.3727652669890213,-45.633949751707156,-2.3727652669890213,-44.60261948979771
96,-2.370798270108906,-32.522287785272304,-2.370798270108906,-45.06378621603824,-2.370798270108906,-38.996882378692746
97,-2.369931159395305,-43.23583403246262,-2.369931159395305,-38.846907558381965,-2.369931159395305,-34.122557873404055
98,-2.3693795516742906,-38.538537938228444,-2.3693795516742906,-36.919187566786356,-2.3693795516742906,-34.582347500923596
99,-2.3678766497872656,-37.29374226067448,-2.3678766497872656,-35.77789744125139,-2.3678766497872656,-29.619176057488936
100,-2.3673755941,-35.63536601280066,-2.3673755941,-34.07157625288033,-2.3673755941,-31.358469134553534
101,-2.367368664350608,-34.289519742223554,-2.367368664350608,-31.80224442354379,-2.367368664350608,-25.33138008344217
102,-2.3648067492218,-38.51141215579591,-2.3648067492218,-36.640419966103714,-2.3648067492218,-34.165543551640205
103,-2.363462890678847,-35.2733220626868,-2.363462890678847,-31.41916133977123,-2.363462890678847,-29.94242722900521
104,-2.363015979331951,-31.85179744644184,-2.363015979331951,-26.707987630757554,-2.363015979331951,-40.37052550806658
105,-2.359991868712969,-35.03602915948342,-2.359991868712969,-33.37684102302048,-2.359991868712969,-30.970132626201035
106,-2.3597693833798687,-34.679942297461636,-2.3597693833798687,-33.36144583600359,-2.3597693833798687,-31.28093420534561
107,-2.3578944064248217,-43.11856212654202,-2.3578944064248217,-38.09191017592304,-2.3578944064248217,-34.57600693135001
108,-2.35774599851381,-34.31436012717589,-2.35774599851381,-33.00744198793286,-2.35774599851381,-30.895429301878693
109,-2.3574915160871885,-34.29755585738445,-2.3574915160871885,-27.105210546672108,-2.3574915160871885,-30.438981546708177
110,-2.357275326138365,-34.922701232331185,-2.357275326138365,-33.48146232675617,-2.357275326138365,-31.273528887966442
111,-2.355230783234055,-32.89017436648272,-2.355230783234055,-30.819492287290732,-2.355230783234055,-26.880093045095098
112,-2.3545809215531746,-31.81456494510551,-2.3545809215531746,-24.696409157935136,-2.3545809215531746,-37.64997821902624
113,-2.3543011226028754,-30.325906962048563,-2.3543011226028754,-23.829243260225198,-2.3543011226028754,-30.263688911241058
114,-2.353227823456935,-33.543676890580834,-2.353227823456935,-31.73014469342916,-2.353227823456935,-28.829928179383394
115,-2.3527969678207468,-34.61445142070186,-2.3527969678207468,-32.905658396199236,-2.3527969678207468,-30.454879498846182
116,-2.351990915555434,-33.48364463713125,-2.351990915555434,-32.836993242135456,-2.351990915555434,-32.05374864444473
117,-2.3490933988453264,-38.26929417952749,-2.3490933988453264,-35.62171917937591,-2.3490933988453264,-32.50077440419748
118,-2.345314215716181,-32.546378917418224,-2.345314215716181,-29.77717798523125,-2.345314215716181,-28.49431117566024
119,-2.3439320071875667,-33.12183230002348,-2.3439320071875667,-28.450504875867626,-2.3439320071875667,-29.62299235479328
120,-2.3422270717455955,-31.66888123000873,-2.3422270717455955,-29.932449058785554,-2.3422270717455955,-27.183915170351437
121,-2.341059761478978,-33.87648043616621,-2.341059761478978,-32.17702230150768,-2.341059761478978,-29.69336306931109
122,-2.3409968669596783,-33.47379140544217,-2.3409968669596783,-31.701923831931996,-2.3409968669596783,-26.202705411254787
123,-2.3405254439742667,-33.429943044473845,-2.3405254439742667,-32.2045198161866,-2.3405254439742667,-29.968729456183976
124,-2.3392650701560624,-37.41933384714255,-2.3392650701560624,-34.32290620578079,-2.3392650701560624,-30.953767752567728
125,-2.338046438609764,-27.3716909550239,-2.338046438609764,-30.167826796831196,-2.338046438609764,-27.8484913822331
126,-2.3377988419718023,-31.831851524073485,-2.3377988419718023,-30.129631188507577,-2.3377988419718023,-27.427636516166352
127,-2.3373460219362734,-33.68073999852514,-2.3373460219362734,-31.241730569201998,-2.3373460219362734,-27.256859957277193
128,-2.3359027139528004,-33.2421547406332,-2.3359027139528004,-31.093585105398137,-2.3359027139528004,-28.07046218877476
129,-2.335149614029204,-31.075556622420358,-2.335149614029204,-22.41604543705058,-2.335149614029204,-31.032295323193914
130,-2.334970856471841,-32.30928891354893,-2.334970856471841,-30.491363756864068,-2.334970856471841,-26.033065276418917
131,-2.3321681533082703,-31.494242485335256,-2.3321681533082703,-29.693829900154153,-2.3321681533082703,-24.400624425223345
132,-2.3274805737009854,-26.870305275539263,-2.3274805737009854,-29.738766747059586,-2.3274805737009854,-26.082788817893107
133,-2.3237165739160854,-32.54980585602554,-2.3237165739160854,-24.27865183846761,-2.3237165739160854,-28.442307060080246
