,x_14,y_14,x_15,y_15,x_16,y_16
0,-2.41421187765686,-40.65827657242422,-2.41421187765686,-39.47218853781106,-2.41421187765686,-37.64761497281729
1,-2.414211581573788,-40.658380720689344,-2.414211581573788,-39.47229480149985,-2.414211581573788,-37.64772302441487
2,-2.414210308791216,-40.65882844430934,-2.414210308791216,-39.472751620304024,-2.414210308791216,-37.64818753067172
3,-2.4141839219111003,-40.66811702447835,-2.4141839219111003,-39.48222932216735,-2.4141839219111003,-37.65782523097944
4,-2.41415654527384,-40.677767200885924,-2.41415654527384,-39.49207685421229,-2.41415654527384,-37.66784002736137
5,-2.4141560145796754,-40.67795440170112,-2.4141560145796754,-39.4922678922605,-2.4141560145796754,-37.66803432058254
6,-2.4140259825023644,-40.72397558786104,-2.4140259825023644,-39.53924260091072,-2.4140259825023644,-37.71582139650698
7,-2.413967313774771,-40.744839715081646,-2.413967313774771,-39.56054572251256,-2.413967313774771,-37.73750079584145
8,-2.4139182116563265,-40.762349727322686,-2.4139182116563265,-39.578427400261795,-2.4139182116563265,-37.75570212341868
9,-2.413560853560527,-40.891115501438705,-2.413560853560527,-39.71001811163909,-2.413560853560527,-37.88975280839609
10,-2.4135069214858165,-40.91075374305152,-2.4135069214858165,-39.7301015194151,-2.4135069214858165,-37.9102284704463
11,-2.4134655562819116,-40.925852793748874,-2.4134655562819116,-39.74554544334219,-2.4134655562819116,-37.925977086736985
12,-2.413355269766156,-40.9662660422503,-2.413355269766156,-39.7868929409164,-2.413355269766156,-37.968153442952584
13,-2.4132811665153038,-40.99354891473783,-2.4132811665153038,-39.81481577129634,-2.4132811665153038,-37.99664686860068
14,-2.4132029130948727,-41.02247254962109,-2.4132029130948727,-39.84442603686783,-2.4132029130948727,-38.02687181536303
15,-2.4131983097395056,-41.02417763799585,-2.4131983097395056,-39.84617186694178,-2.4131983097395056,-38.028654196757465
16,-2.4131174236645894,-41.05420377038687,-2.4131174236645894,-39.87692028026484,-2.4131174236645894,-38.06005203735901
17,-2.41308819376743,-41.065085063338174,-2.41308819376743,-39.88806558616548,-2.41308819376743,-38.07143539415221
18,-2.412955851224023,-41.11455671257295,-2.412955851224023,-39.938752824296806,-2.412955851224023,-38.123223156934664
19,-2.4128689824356613,-41.147213091782966,-2.4128689824356613,-39.97222539826254,-2.4128689824356613,-38.15743866242534
